id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
4290,Heroes Rise: The Hero Project,17-06-2014,Choice of Games,Choice of Games,Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,199,86%,1,1,1
4291,Ultratron,18-03-2013,Puppygames,Puppygames,Action;Indie,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,419,69%,1,1,1
4292,Empire TV Tycoon,20-10-2015,Dreamsite Games,Dreamsite Games,Casual;Indie;Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Stats;Steam Leaderboards,369,72%,1,1,1
4293,nail'd,30-11-2010,Techland,Deep Silver,Racing,Single-player;Partial Controller Support,259,98%,1,0,0
4294,YOU DON'T KNOW JACK Vol. 1 XL,05-11-2013,"Jackbox Games, Inc.","Jackbox Games, Inc.",Casual;Indie,Single-player;Multi-player,169,70%,1,0,0
4295,Urban Trial Freestyle,18-09-2013,Tate Multimedia,Tate Multimedia,Action;Racing;Simulation;Sports,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,419,74%,1,0,0
4296,The Underground Man,01-09-2016,Mehsoft,Mehsoft,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards,85,96%,1,1,0
4297,Pinkman,16-01-2017,Green Dinosaur Games,Green Dinosaur Games,Action;Adventure;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,58,90%,1,0,0
4298,Chronicles of Magic: Divided Kingdoms,22-03-2018,The House of Fables,Artifex Mundi,Adventure;Casual,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,459,71%,1,1,1
4299,Demon's Rise - Lords of Chaos,24-04-2018,Wave Light Games Inc.,Wave Light Games Inc.,Violent;Gore;Action;Indie;RPG;Strategy,Single-player,259,82%,1,0,0
4300,Siralim 3,15-10-2018,Thylacine Studios,Thylacine Studios LLC,RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,690,94%,1,1,1
4301,Fabulous - Angela's Wedding Disaster,30-04-2018,GameHouse,GameHouse,Adventure;Casual;Strategy,Single-player;Steam Achievements,419,80%,1,0,0
4302,The Endless Journey,18-01-2018,YETU GAME,YETU GAME,Adventure;Casual;Indie;RPG,Single-player;Steam Achievements;Steam Trading Cards,349,83%,1,0,0
4303,Jewel Match Twilight Solitaire,13-09-2018,Suricate Software,Grey Alien Games,Casual;Indie,Single-player;Steam Achievements,349,82%,1,0,0
4304,Gnomes Garden 2,18-05-2016,Jerzie;Creobit,8Floor,Casual;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,199,67%,1,0,0
4305,The Purring Quest,12-11-2015,Valhalla Cats,Valhalla Cats,Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,480,60%,1,0,0
4306,The Experiment: Escape Room,22-11-2018,OnSkull Games,OnSkull Games,Adventure;Casual;Indie,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support,165,81%,1,0,0
4307,Marlow Briggs and the Mask of Death,20-09-2013,Zootfly,505 Games,Action;Adventure,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,259,94%,1,0,0
4308,Amber's Airline - High Hopes,03-09-2018,Old Skull Games,GameHouse,Casual;Simulation,Single-player;Steam Achievements,419,98%,1,1,0
4309,Warhammer Quest 2: The End Times,30-01-2019,Perchang,Perchang,Adventure;Strategy,Single-player;Steam Achievements;Steam Cloud,529,92%,1,1,0
4310,Palace of Cards,14-12-2017,Spiele-Palast GmbH,Spiele-Palast GmbH,Casual;Free to Play;Indie;Strategy,Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;In-App Purchases,Free to play,83%,1,1,0
4311,Armed and Dangerous®,08-07-2009,Planet Moon Studios,LucasArts;Lucasfilm;Disney Interactive,Action,Single-player;Steam Cloud,219,82%,1,0,0
4312,THE 2048,12-07-2017,Thick & Thin,Thick & Thin,Indie,Single-player;Steam Achievements;Steam Leaderboards,40,87%,1,0,0
4313,Aquaria,15-12-2008,"Bit Blot, LLC","Bit Blot, LLC",Indie,Single-player;Steam Achievements;Partial Controller Support,369,92%,1,0,1
4314,Sipho,13-11-2018,All Parts Connected,All Parts Connected,Action;Indie;Strategy;Early Access,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,439,92%,1,1,1
4315,Seduce Me 2: The Demon War,23-05-2016,Michaela Laws,Michaela Laws,Adventure;Casual;Indie;RPG;Simulation,Single-player;Steam Achievements;Captions available;Commentary available,349,82%,1,1,1
4316,Comanche 4,18-06-2009,NovaLogic,NovaLogic;THQ Nordic,Action;Simulation,Single-player;Multi-player,369,88%,1,0,0
4317,Tallowmere,03-03-2015,Chris McFarland,Chris McFarland,Action;Indie,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,200,75%,1,1,1
4318,Cognition: An Erica Reed Thriller,19-09-2013,Phoenix Online Studios,Phoenix Online Publishing,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,479,96%,1,1,0
4319,Dungeons of Betrayal,02-10-2017,Darkelite Studio Inc,Darkelite Studio Inc,Adventure;Indie;RPG;Early Access,Single-player;Full controller support,259,85%,1,1,1
4320,Decisive Campaigns: Case Blue,07-05-2015,VR Designs,Slitherine Ltd.,Simulation;Strategy,Single-player;Multi-player,849,87%,1,0,0
4321,Bronze Age - HD Edition,25-09-2017,Clarus Victoria,Clarus Victoria,Casual;Indie;Simulation;Strategy,Single-player;Steam Achievements;Steam Cloud,169,82%,1,1,1
4322,Alone in the Dark: The New Nightmare,29-10-2013,Darkworks;Spiral House,THQ Nordic,Action;Adventure,Single-player,319,95%,1,0,0
4323,Omikron: The Nomad Soul,26-09-2013,Quantic Dream,Square Enix,RPG,Single-player,369,94%,1,0,0
4324,SLAMMED!,30-01-2015,Choice of Games,Choice of Games,Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,219,98%,1,1,1
4325,Possessed,17-05-2017,Moonz Studioz,Moonz Studioz,Violent;Gore;Action;Adventure,Single-player;Steam Achievements,165,81%,1,0,0
4326,"Codename: Panzers, Phase Two",18-02-2016,Stormregion;THQ Nordic,THQ Nordic,Simulation;Strategy,Single-player;Multi-player;Co-op;Includes level editor,499,74%,1,0,0
4327,Vendetta - Curse of Raven's Cry,20-11-2015,Reality Pump Studios,TopWare Interactive;ACE,Action;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,699,96%,1,1,1
4328,Pumped BMX Pro,07-02-2019,Yeah Us!;Warp Digital Entertainment,Curve Digital ,Sports,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,459,100%,1,0,0
4329,Blood Code,28-12-2015,WeShare Game Studio,WeShare Game Studio,Adventure;Casual;Indie;Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,349,95%,1,1,1
4330,Tengami,15-01-2015,Nyamyam,Nyamyam,Adventure;Casual;Indie,Single-player;Steam Achievements;Steam Cloud,259,90%,1,1,0
4331,Noda,12-01-2017,Coding Leap,Coding Leap,Casual;Indie;Early Access,Single-player,Free to play,84%,1,0,0
4332,The Promised Land,25-04-2014,Boolat Games;Alawar Entertainment,Buka Entertainment,Adventure;Casual;Strategy,Single-player;Steam Trading Cards,319,83%,1,1,0
4333,Shadows Peak,13-03-2017,Andrii Vintsevych,Andrii Vintsevych,Action;Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,349,77%,1,0,0
4334,Fort Zombie,29-10-2018,Kerberos Productions,Kerberos Productions,Action;Indie;RPG,Single-player,165,94%,1,0,0
4335,Tiny Troopers,24-08-2012,Kukouri,Iceberg Interactive,Action;Indie;Strategy,Single-player,199,94%,1,1,0
4336,GT Legends,28-11-2012,SimBin Studios AB,SimBin,Racing;Simulation;Sports,Single-player;Multi-player,299,53%,1,0,0
4337,Casey Powell Lacrosse 16,08-03-2016,Big Ant Studios;Crosse Studios,Big Ant Studios,Sports,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,529,94%,1,0,0
4338,Art of Murder - Hunt for the Puppeteer,13-07-2018,City Interactive S.A.,City Interactive S.A.,Adventure,Single-player,199,73%,1,0,0
4339,Amber's Airline - 7 Wonders,18-04-2019,Old Skull Games,GameHouse,Casual,Single-player;Steam Achievements,419,85%,1,1,0
4340,Everyday Genius: SquareLogic,21-10-2009,TrueThought,TrueThought,Casual;Indie;Strategy,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,259,90%,1,0,0
4341,Deconstructor,01-06-2018,For Kids,For Kids,Casual;Indie,Single-player;Steam Achievements,85,93%,1,1,1
4342,Cartonfall,27-02-2019,kuklam studios,kuklam studios,Adventure;Indie;Simulation,Single-player;Full controller support,299,87%,1,0,0
4343,Killing Room,20-10-2016,Alda Games,Alda Games,Action;Indie;RPG,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Stats,349,86%,1,0,0
4344,Full Mojo Rampage,08-05-2014,Over the Top Games,Over The Top Games,Action;Indie;RPG,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,439,92%,1,0,0
4345,ASSAULT GUNNERS HD EDITION,20-03-2018,SHADE Inc.,Marvelous;Marvelous Europe Limited,Action,Single-player;Steam Achievements;Partial Controller Support,349,60%,1,0,0
4346,Dance Collider,27-09-2018,emergeWorlds,emergeWorlds,Action;Casual;Indie;Sports;Early Access,Single-player;Steam Achievements;Steam Leaderboards,459,85%,1,0,0
4347,Ember,09-09-2016,N-Fusion Interactive,505 Games,Adventure;Indie;RPG;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,349,57%,1,0,0
4348,Knight Bewitched,18-04-2018,Joshua Keith,Joshua Keith,Casual;Indie;RPG,Single-player;Steam Achievements,199,93%,1,1,0
4349,DreamWorks Dragons: Dawn of New Riders,15-02-2019,Climax Studios Ltd.,Outright Games Ltd. ,Adventure,Single-player;Steam Achievements;Full controller support,699,82%,1,0,0
4350,Delicious! Pretty Girls Mahjong Solitaire,14-10-2016,Zoo Corporation,Zoo Corporation,Casual,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,58,77%,1,1,0
4351,A Bastard's Tale,26-05-2015,No Pest Productions,No Pest Productions,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,259,65%,1,0,0
4352,VIDEOBALL,12-07-2016,"Action Button Entertainment, LLC",Iron Galaxy,Action;Indie;Sports,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,369,79%,1,0,0
4353,WARSHIFT,12-10-2016,Cyril Megem,Nominia Ltd,Action;Indie;RPG;Strategy,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards,349,97%,1,0,0
4354,The I of the Dragon,06-03-2015,Primal,TopWare Interactive,RPG,Single-player;Steam Trading Cards,319,70%,1,1,1
4355,Math Fun,04-08-2018,Yash Future Tech Solutions Pvt Ltd,Yash Future Tech Solutions Pvt Ltd,Casual;Indie;Strategy,Single-player;Steam Achievements;Partial Controller Support,199,57%,1,0,0
4356,Rush for Berlin Gold,29-10-2009,Stormregion,Deep Silver,Strategy,Single-player;Multi-player,259,73%,1,0,0
4357,Diamo XL,13-10-2017,Nickervision Studios,Nickervision Studios,Action;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,42,81%,1,1,1
4358,STAB STAB STAB!,02-04-2019,Sbug Games,Sbug Games,Action;Casual;Indie,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support,199,87%,1,0,0
4359,Boring Man - Online Tactical Stickman Combat,20-02-2015,Spasman Games,Spasman Games,Action;Free to Play;Indie;Massively Multiplayer,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Includes level editor,Free to play,93%,1,0,1
4360,Archaica: The Path of Light,08-09-2017,Two Mammoths,Two Mammoths,Adventure;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,479,90%,1,0,0
4361,Vision Soft Reset,16-01-2019,Mark Radocy,Mark Radocy,Action;Adventure;Indie,Single-player;Full controller support,349,96%,1,0,0
4362,Hop Step Sing! Nozokanaide Naked Heart (HQ Edition),10-09-2018,Kodansha;Kodansha VR Lab;Lantis,Degica,Casual,Single-player,259,89%,1,0,0
4363,A Little Lily Princess,19-05-2016,Hanabira,Hanako Games,Indie;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,459,81%,1,1,1
4364,Flood of Light,15-06-2017,Irisloft,Irisloft,Adventure;Casual;Indie;RPG,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,229,94%,1,1,0
4365,Katy and Bob Way Back Home,17-10-2017,Creobit,8Floor,Casual;Strategy,Single-player;Steam Achievements;Steam Trading Cards,199,80%,1,0,0
4366,Praetorians,11-04-2014,Pyro Studios,Kalypso Media Digital,Indie;Strategy,Single-player;Multi-player,259,85%,1,0,0
4367,FINAL FANTASY IV: THE AFTER YEARS,11-05-2015,Square Enix,Square Enix,RPG,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,519,90%,1,0,0
4368,TWINKLE STAR SPRITES,26-05-2016,SNK CORPORATION;DotEmu,SNK CORPORATION,Action,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Cloud;Steam Leaderboards,349,86%,1,0,0
4369,A New Beginning - Final Cut,11-12-2012,Daedalic Entertainment,Daedalic Entertainment,Adventure;Indie,Single-player;Steam Achievements,499,93%,1,1,0
4370,Age of Fear: The Undead King,26-06-2015,Leslaw Sliwko,Age of Fear,Indie;RPG;Strategy,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,499,96%,1,1,1
4371,Deadlight,25-10-2012,"Tequila Works, S.L.",Microsoft Studios,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,479,85%,1,0,0
4372,MOMO.EXE 2,05-10-2018,Dymchick1,Dymchick1,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Cloud,125,81%,1,1,1
4373,Putt-Putt® Joins the Parade,17-04-2014,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,Adventure;Casual,Single-player,319,86%,1,1,1
4374,Heretic Operative,18-02-2019,C Prompt Games,C Prompt Games,RPG;Strategy,Single-player;Steam Achievements,529,90%,1,0,0
4375,Riptide GP2,07-03-2014,Vector Unit,Vector Unit,Action;Indie;Racing;Simulation;Sports,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,259,88%,1,0,0
4376,Ria's Hook,04-04-2018,Fossil,Fossil,Action;Adventure;Indie,Single-player,125,73%,1,0,0
4377,A Girls Fabric Face,10-03-2017,Stanislaw Truchowski,TurnVex,Adventure;Indie,Single-player;Steam Achievements,125,79%,1,0,0
4378,Call of Cthulhu: Shadow of the Comet,04-11-2015,Infogrames,Atari,Adventure,Single-player,299,94%,1,0,0
4379,Shark Attack Deathmatch 2,28-05-2015,Lighthouse Games Studio,Lighthouse Games Studio,Action;Indie;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,199,97%,1,0,0
4380,Stealth Bastard Deluxe,28-11-2012,Curve Studios,Curve Digital,Action;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,369,60%,1,1,1
4381,ARSLAN: THE WARRIORS OF LEGEND,09-02-2016,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Action,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support,"1,179",92%,1,0,0
4382,Box Maze,03-03-2017,GamersHype Productions,GamersHype Productions,Action;Adventure;Casual;Indie;Strategy,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,42,67%,1,0,0
4383,Ballads of Reemus: When the Bed Bites,27-04-2015,ClickShake Games LLC,ClickShake Games LLC,Adventure;Casual;Indie,Single-player;Captions available,199,84%,1,0,0
4384,QP Shooting - Dangerous!!,14-11-2014,Orange_Juice,Fruitbat Factory,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,299,93%,1,0,0
4385,A Trip to Yugoslavia: Director's Cut,22-02-2017,Piotr Bunkowski;Hades Productions,Sometimes You,Action;Adventure;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,42,91%,1,1,1
4386,Sabres of Infinity,29-03-2016,Hosted Games,Hosted Games,Adventure;Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,125,77%,1,1,1
4387,Zombie Exodus,23-10-2015,Hosted Games,Hosted Games,Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,299,94%,1,1,1
4388,Oknytt,04-04-2014,Nemoria Entertainment,Nemoria Entertainment,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards,259,94%,1,0,0
4389,Farm for your Life,16-06-2014,Hammer Labs,Hammer Labs,Casual;Indie;Simulation;Strategy,Single-player;Steam Achievements,369,90%,1,1,1
4390,Golem Gates,28-03-2018,"Laser Guided Games, LLC","Laser Guided Games, LLC",Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,569,86%,1,0,0
4391,The Apogee Throwback Pack,01-07-2013,Interceptor Entertainment,Apogee Software,Action,Single-player,349,89%,1,1,0
4392,Closure,07-09-2012,Eyebrow Interactive,Eyebrow Interactive,Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Commentary available,369,92%,1,0,1
4393,AO International Tennis,07-05-2018,Big Ant Studios,Big Ant Studios,Sports,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,569,92%,1,0,0
4394,Wings of Prey,08-01-2010,Gaijin Entertainment,Gaijin Entertainment,Simulation,Single-player;Steam Achievements;Partial Controller Support,480,84%,1,0,0
4395,Legend of Himari,19-03-2018,TERNOX,TERNOX,Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,42,92%,1,0,0
4396,Sakura Fantasy,29-05-2015,Winged Cloud,Winged Cloud,Sexual Content;Nudity;Casual;Indie,Single-player;Steam Trading Cards,369,69%,1,1,1
4397,Braveland,17-03-2014,Tortuga Team,Tortuga Team,Adventure;Casual;Indie;RPG;Strategy,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,299,93%,1,1,1
4398,Seeking Dawn,12-07-2018,Multiverse,Multiverse,Adventure;Indie,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Cloud,699,87%,1,0,0
4399,Boson X,15-09-2014,Ian MacLarty;Jon Kerney,Ian MacLarty,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,125,90%,1,1,1
4400,Depraved,20-07-2018,Evil Bite,Evil Bite,Indie;Simulation;Strategy;Early Access,Single-player;Steam Achievements,529,68%,1,1,1
4401,Sorcery Jokers All Ages Version,12-01-2018,3rdEye,MangaGamer,Violent;Gore;Adventure,Single-player;Steam Cloud,899,93%,1,0,0
4402,Valentino Rossi The Game,16-06-2016,Milestone S.r.l.,Milestone S.r.l.,Racing;Simulation;Sports,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,449,82%,1,0,0
4403,Speed Brawl,18-09-2018,Double Stallion Games,Kongregate,Action;Indie,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,529,80%,1,0,0
4404,Pox Nora,15-10-2014,Desert Owl Games LLC,Desert Owl Games LLC,Free to Play;RPG;Strategy,Single-player;Multi-player;Steam Trading Cards,Free to play,100%,1,1,0
4405,Choice of the Pirate,20-05-2016,Choice of Games,Choice of Games,Adventure;Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,199,84%,1,1,1
4406,Mystika 3 : Awakening of the dragons,23-06-2017,Unikgame,Unikware,Casual;Indie,Single-player;Steam Achievements,199,92%,1,0,0
4407,Eventide: Slavic Fable,28-01-2016,The House of Fables,Artifex Mundi,Adventure;Casual,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,369,62%,1,1,1
4408,Infinos Gaiden,19-01-2018,Picorinne Soft,Picorinne Soft,Action;Indie,Single-player;Partial Controller Support,379,94%,1,0,0
4409,"DvDrum, Ultimate Drum Simulator!",09-02-2017,DarkTigerDevelop,DarkTigerDevelop,Casual;Indie;Simulation;Sports,Single-player;Full controller support;Steam Workshop;Steam Cloud;Includes level editor,349,67%,1,0,0
4410,Champion of the Gods,17-07-2015,Choice of Games,Choice of Games,Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,199,85%,1,1,1
4411,Descent: Road to Legend,01-06-2016,Fantasy Flight Games,Fantasy Flight Games,Adventure;RPG,Single-player;Co-op;Shared/Split Screen;In-App Purchases;Steam Cloud,Free to play,89%,1,1,0
4412,Hentai Waifu,25-03-2019,Hentai X,Hentai X,Casual;Indie,Single-player;Steam Achievements;Steam Cloud,42,93%,1,1,0
4413,Snow Fortress,16-12-2016,Mythical City Games,Mythical City Games,Action;Casual;Indie;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Leaderboards,459,80%,1,0,0
4414,Silent Depth 3D Submarine Simulation,20-08-2018,Naval Sims,Naval Sims,Indie;Simulation;Strategy,Single-player;Steam Achievements,349,85%,1,0,0
4415,Wanted Killer VR,23-05-2018,Playsnak,Playsnak,Action;Indie;Early Access,Single-player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Leaderboards,349,94%,1,0,0
4416,Hentai Memory,20-07-2018,Pirotexnik,Pirotexnik,Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards,42,80%,1,0,0
4417,Samurai of Hyuga,16-09-2016,Hosted Games,Hosted Games,Adventure;Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,165,88%,1,1,1
4418,Road to Eden,28-02-2019,Zouking,Digitalworks,Action;Adventure;Indie;Simulation;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op,529,83%,1,0,0
4419,Wrongworld,11-05-2018,Sludj Games,Sludj Games,Action;Adventure;Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,459,87%,1,0,0
4420,Ball 2D: Soccer Online,08-09-2017,Unusualsoft,Unusualsoft,Action;Free to Play;Sports,Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer,42,94%,1,1,0
4421,18 Wheels of Steel: Extreme Trucker 2,08-05-2015,ValuSoft,ValuSoft;Play Hard Games,Simulation,Single-player,369,90%,1,0,0
4422,Project Freedom,14-10-2009,City Interactive,CI Games,Action;Simulation,Single-player,169,96%,1,0,0
4423,Sword of the Stars: Complete Collection,04-06-2010,Kerberos Productions Inc.,Paradox Interactive,Strategy,Single-player;Multi-player;Online Multi-Player,369,88%,1,0,0
4424,Love Language Japanese,11-01-2019,Papurika.moe,Initiative Media,Adventure;Casual;Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards,529,94%,1,0,0
4425,Eldevin,05-11-2014,Hunted Cow Studios,Hunted Cow Studios,Casual;Free to Play;Indie;Massively Multiplayer;RPG,Multi-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards,Free to play,80%,1,1,0
4426,Dead Maze,13-02-2018,Atelier 801,Atelier 801,Action;Free to Play;Massively Multiplayer,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,74%,1,1,1
4427,0°N 0°W,01-03-2018,Colorfiction,Colorfiction,Adventure;Casual;Indie,Single-player;Partial Controller Support,199,79%,1,1,1
4428,SculptrVR,04-04-2016,Nathan Rowe,SculptrVR,Indie,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;VR Support;Includes level editor,529,80%,1,0,0
4429,Super Time Force Ultra,25-08-2014,Capybara Games,Capybara Games,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,459,87%,1,1,1
4430,Mecha Ace,05-12-2014,Choice of Games,Choice of Games,Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,199,96%,1,1,1
4431,Mystery Case Files: Prime Suspects™,21-04-2010,Big Fish Games,Big Fish Games,Casual,Single-player,319,93%,1,0,0
4432,Loca-Love My Cute Roommate,25-10-2018,Frontwing,Frontwing USA,Adventure;Casual,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,529,80%,1,0,0
4433,Isoland,01-05-2018,Cotton Game,Lilith Games,Adventure;Indie,Single-player;Steam Cloud,42,75%,1,1,0
4434,Leap Up no jutsu,30-12-2016,nlfastudio,nlfastudio,Action;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,38,74%,1,0,0
4435,Icycle: On Thin Ice,25-10-2017,Damp Gnat,Damp Gnat,Action;Adventure;Indie,Single-player;Steam Achievements;Partial Controller Support,259,85%,1,1,0
4436,Minimalism,08-02-2017,PixelMouse,PixelMouse,Action;Adventure;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,42,47%,1,0,0
4437,Grisaia Phantom Trigger Vol.5,26-07-2018,Frontwing,Frontwing USA,Violent;Adventure;Casual,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,459,82%,1,0,0
4438,Mr. Pumpkin Adventure,08-07-2016,Cotton Game,CottonGame,Adventure;Indie,Single-player;Steam Achievements,229,68%,1,1,0
4439,The Frostrune,02-02-2017,Grimnir Media,Snow Cannon Games,Adventure,Single-player;Steam Achievements,349,96%,1,1,0
4440,Life of a Wizard,17-03-2017,Hosted Games,Hosted Games,Adventure;Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,125,84%,1,1,1
4441,This Strange Realm Of Mine,19-07-2017,Doomster Entertainment,Doomster Entertainment,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,349,100%,1,1,0
4442,Never Split the Party,14-09-2018,Legend Studio,Legend Studio,Action;Adventure;Free to Play;Indie;RPG;Simulation;Early Access,Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Includes level editor,Free to play,88%,1,1,1
4443,A Case of Distrust,08-02-2018,The Wandering Ben,Serenity Forge,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,459,86%,1,1,0
4444,A Study in Steampunk: Choice by Gaslight,20-11-2015,Hosted Games,Hosted Games,Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,165,88%,1,1,1
